Language,Class,Duration
GodotEditor,NestedGrid,19.393538
GodotEditor,NestedGrid,19.101994
GodotEditor,NestedGrid,19.256354
GodotEditor,NestedGrid,19.209771
GodotEditor,NestedGrid,19.857985
GodotEditor,NestedGrid,20.056376
GodotEditor,NestedGrid,19.627051
GodotEditor,NestedGrid,18.870875
GodotEditor,NestedGrid,19.026889
GodotEditor,NestedGrid,19.411037
GodotEditor,NestedGrid,20.409024
GodotEditor,NestedGrid,19.218035
GodotEditor,NestedGrid,21.87238
GodotEditor,NestedGrid,20.655812
GodotEditor,NestedGrid,19.031624
GodotEditor,NestedGrid,19.684235
GodotEditor,NestedGrid,20.179976
GodotEditor,NestedGrid,20.61986
GodotEditor,NestedGrid,18.801801
GodotEditor,NestedGrid,20.720619
GodotEditor,NestedGrid,20.697914
GodotEditor,NestedGrid,21.181519
GodotEditor,NestedGrid,19.795584
GodotEditor,NestedGrid,19.549774
GodotEditor,NestedGrid,19.65998
GodotEditor,NestedGrid,20.194991
GodotEditor,NestedGrid,19.551148
GodotEditor,NestedGrid,20.331479
GodotEditor,NestedGrid,19.017375
GodotEditor,NestedGrid,19.360307
GodotEditor,FlatGrid,20.634484
GodotEditor,FlatGrid,20.230469
GodotEditor,FlatGrid,18.77814
GodotEditor,FlatGrid,17.613333
GodotEditor,FlatGrid,17.370512
GodotEditor,FlatGrid,18.071457
GodotEditor,FlatGrid,18.043362
GodotEditor,FlatGrid,17.515015
GodotEditor,FlatGrid,18.625631
GodotEditor,FlatGrid,18.056475
GodotEditor,FlatGrid,17.252325
GodotEditor,FlatGrid,19.235596
GodotEditor,FlatGrid,17.044348
GodotEditor,FlatGrid,19.561341
GodotEditor,FlatGrid,20.471057
GodotEditor,FlatGrid,17.646419
GodotEditor,FlatGrid,18.942387
GodotEditor,FlatGrid,18.212994
GodotEditor,FlatGrid,19.83693
GodotEditor,FlatGrid,19.669891
GodotEditor,FlatGrid,18.71998
GodotEditor,FlatGrid,17.604832
GodotEditor,FlatGrid,18.120584
GodotEditor,FlatGrid,18.779916
GodotEditor,FlatGrid,18.25717
GodotEditor,FlatGrid,18.184496
GodotEditor,FlatGrid,17.95103
GodotEditor,FlatGrid,17.111186
GodotEditor,FlatGrid,18.025388
GodotEditor,FlatGrid,18.376144
GodotEditor,DictGrid,21.867976
GodotEditor,DictGrid,19.823386
GodotEditor,DictGrid,19.971018
GodotEditor,DictGrid,21.247138
GodotEditor,DictGrid,21.230538
GodotEditor,DictGrid,24.996775
GodotEditor,DictGrid,24.708868
GodotEditor,DictGrid,21.381635
GodotEditor,DictGrid,21.568987
GodotEditor,DictGrid,21.29521
GodotEditor,DictGrid,25.853169
GodotEditor,DictGrid,22.96299
GodotEditor,DictGrid,22.075738
GodotEditor,DictGrid,21.405289
GodotEditor,DictGrid,20.969464
GodotEditor,DictGrid,20.373462
GodotEditor,DictGrid,22.444713
GodotEditor,DictGrid,21.92997
GodotEditor,DictGrid,20.758643
GodotEditor,DictGrid,21.691498
GodotEditor,DictGrid,21.156311
GodotEditor,DictGrid,22.936965
GodotEditor,DictGrid,21.156083
GodotEditor,DictGrid,20.122745
GodotEditor,DictGrid,21.115098
GodotEditor,DictGrid,23.492013
GodotEditor,DictGrid,21.247555
GodotEditor,DictGrid,21.877388
GodotEditor,DictGrid,20.396786
GodotEditor,DictGrid,20.973392
GodotEditor,FlatDictGrid,22.816685
GodotEditor,FlatDictGrid,22.674913
GodotEditor,FlatDictGrid,22.303699
GodotEditor,FlatDictGrid,21.799017
GodotEditor,FlatDictGrid,21.907264
GodotEditor,FlatDictGrid,21.601574
GodotEditor,FlatDictGrid,21.491454
GodotEditor,FlatDictGrid,21.650134
GodotEditor,FlatDictGrid,21.510769
GodotEditor,FlatDictGrid,22.729057
GodotEditor,FlatDictGrid,21.491175
GodotEditor,FlatDictGrid,22.112906
GodotEditor,FlatDictGrid,21.469752
GodotEditor,FlatDictGrid,22.024936
GodotEditor,FlatDictGrid,21.594645
GodotEditor,FlatDictGrid,22.175005
GodotEditor,FlatDictGrid,22.565807
GodotEditor,FlatDictGrid,21.646894
GodotEditor,FlatDictGrid,22.645348
GodotEditor,FlatDictGrid,21.742476
GodotEditor,FlatDictGrid,20.975875
GodotEditor,FlatDictGrid,21.401399
GodotEditor,FlatDictGrid,22.183928
GodotEditor,FlatDictGrid,22.270783
GodotEditor,FlatDictGrid,20.823548
GodotEditor,FlatDictGrid,21.88929
GodotEditor,FlatDictGrid,21.774554
GodotEditor,FlatDictGrid,21.355003
GodotEditor,FlatDictGrid,21.697164
GodotEditor,FlatDictGrid,21.211594
GodotExport,NestedGrid,16.643119
GodotExport,NestedGrid,15.10208
GodotExport,NestedGrid,14.910942
GodotExport,NestedGrid,22.125438
GodotExport,NestedGrid,14.888619
GodotExport,NestedGrid,15.023329
GodotExport,NestedGrid,14.969566
GodotExport,NestedGrid,14.960361
GodotExport,NestedGrid,14.936595
GodotExport,NestedGrid,14.928744
GodotExport,NestedGrid,14.878643
GodotExport,NestedGrid,14.912572
GodotExport,NestedGrid,14.946225
GodotExport,NestedGrid,14.995137
GodotExport,NestedGrid,14.95915
GodotExport,NestedGrid,16.756633
GodotExport,NestedGrid,14.919633
GodotExport,NestedGrid,14.910939
GodotExport,NestedGrid,14.929442
GodotExport,NestedGrid,15.060609
GodotExport,NestedGrid,18.154426
GodotExport,NestedGrid,15.66405
GodotExport,NestedGrid,22.471727
GodotExport,NestedGrid,20.583427
